epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
89,1993.72,1.43621,0.96977,0.89046,0.52824,0.61041,0.59299,0.28405,1.58627,1.05773,0.95041,0.007096,0.007096,0.007096
90,2016,1.43827,0.94845,0.8964,0.48121,0.61463,0.57165,0.28156,1.62643,1.05027,0.95872,0.007063,0.007063,0.007063
91,2038.57,1.42468,0.96082,0.88893,0.4904,0.64562,0.58307,0.28467,1.58514,1.04297,0.96196,0.00703,0.00703,0.00703
92,2061.54,1.39453,0.91707,0.88315,0.52447,0.6236,0.60266,0.2903,1.62186,1.02964,0.95334,0.006997,0.006997,0.006997
93,2084.31,1.37506,0.89181,0.88439,0.4763,0.65401,0.56718,0.27078,1.66079,1.03585,0.96667,0.006964,0.006964,0.006964
94,2107.19,1.34966,0.87713,0.88886,0.49898,0.66394,0.59871,0.30304,1.54912,0.99941,0.94337,0.006931,0.006931,0.006931
95,2129.72,1.38141,0.89189,0.8819,0.56359,0.62869,0.63784,0.31704,1.53078,0.96654,0.94003,0.006898,0.006898,0.006898
96,2152.13,1.36096,0.8972,0.87926,0.58805,0.63445,0.64461,0.31533,1.56939,0.94313,0.95033,0.006865,0.006865,0.006865
97,2174.32,1.34798,0.87834,0.88155,0.53354,0.63706,0.61027,0.29657,1.59107,1.00055,0.9522,0.006832,0.006832,0.006832
98,2196.93,1.3688,0.88547,0.88147,0.55021,0.61041,0.60594,0.29663,1.61928,0.97693,0.96646,0.006799,0.006799,0.006799
99,2219.86,1.34741,0.89054,0.87709,0.53859,0.63713,0.59864,0.28933,1.61205,1.01381,0.96337,0.006766,0.006766,0.006766
100,2242.4,1.31089,0.84377,0.8736,0.57226,0.63224,0.61795,0.30726,1.56089,0.97549,0.95358,0.006733,0.006733,0.006733
101,2264.75,1.35333,0.87215,0.87957,0.59536,0.57322,0.61243,0.30136,1.608,0.99237,0.95759,0.0067,0.0067,0.0067
102,2287.61,1.34466,0.86858,0.8793,0.57638,0.62385,0.62695,0.30995,1.5943,1.00721,0.94518,0.006667,0.006667,0.006667
103,2310.42,1.32709,0.83498,0.87977,0.56898,0.61041,0.61026,0.29119,1.60148,0.9803,0.95813,0.006634,0.006634,0.006634
104,2333.44,1.31569,0.83529,0.86617,0.58118,0.65401,0.63509,0.31531,1.53339,0.92729,0.94363,0.006601,0.006601,0.006601
105,2355.75,1.30081,0.81075,0.8686,0.60479,0.57243,0.60616,0.29591,1.58055,1.00199,0.9465,0.006568,0.006568,0.006568
106,2378.37,1.35453,0.85818,0.88311,0.62188,0.67792,0.65882,0.32582,1.53444,0.92696,0.93575,0.006535,0.006535,0.006535
